"deal_id","target_name","target_ticker","date_announced","year_announced"
"4068860020","Pactiv Evergreen Inc","PTVE",2022-12-01,2022
"4019136020","Charah Solutions Inc","CHRA",2022-11-14,2022
"3997701020","Triumph Bancorp Inc","TBK",2022-11-07,2022
"3995248020","ABIOMED Inc","ABMD",2022-11-01,2022
"3991677020","Applied Genetic Technologies Corp","AGTC",2022-10-23,2022
"3989580020","Akouos Inc","AKUS",2022-10-18,2022
"3988975020","Archaea Energy Inc","LFG",2022-10-17,2022
"3989193020","Comprehensive Healthcare Systems Inc","CHS",2022-10-17,2022
"3990024020","The Howard Hughes Corp","HHC",2022-10-14,2022
"3981993020","BTRS Holdings Inc","BTRS",2022-09-28,2022
"3989181020","Abraxas Petroleum Corp","AXAS",2022-09-28,2022
"3977684020","Tuesday Morning Corp","TUEM",2022-09-21,2022
"3976941020","Renovacor Inc","RCOR",2022-09-20,2022
"3976974020","Electric Last Mile Solutions Inc","ELMS",2022-09-16,2022
"4065094020","Mondee Holdings Inc","MOND",2022-09-16,2022
"3975004020","NeuroBo Pharmaceuticals Inc","NRBO",2022-09-15,2022
"3975480020","Nordstrom Inc","JWN",2022-09-15,2022
"3972380020","Evergreen Gaming Corp","TNA",2022-09-08,2022
"3970859020","Brigham Minerals Inc","MNRL",2022-09-06,2022
"3971041020","ChannelAdvisor Corp","ECOM",2022-09-06,2022
"3969179020","Forma Therapeutics Holdings Inc","FMTX",2022-09-01,2022
"3968926020","Kolon TissueGene Inc","950160",2022-08-31,2022
"3970959020","Emtec Inc","ETEC",2022-08-31,2022
"3968378020","Rodedawg International Industries Inc","RWGI",2022-08-30,2022
"3996019020","Nitro Software Ltd","NTO",2022-08-30,2022
"3986638020","Zosano Pharma Corp","ZSAN",2022-08-23,2022
"3964886020","Computer Services Inc","CSVI",2022-08-22,2022
"3965344020","Aerie Pharmaceuticals Inc","AERI",2022-08-22,2022
"3970953020","CHC Group LLC","CHHCF",2022-08-18,2022
"3962607020","Hill International Inc","APGO",2022-08-16,2022
"3961696020","Kolon TissueGene Inc","950160",2022-08-12,2022
"3959809020","BBQ Holdings Inc","BBQ",2022-08-09,2022
"3961280020","CarLotz Inc","LOTZ",2022-08-09,2022
"3958422020","Global Blood Therapeutics Inc","GBT",2022-08-08,2022
"3959012020","Avalara Inc","AVLR",2022-08-08,2022
"3959200020","Cyberoptics Corp","CYBE",2022-08-08,2022
"3957273020","Ping Identity Holding Corp","PING",2022-08-03,2022
"3956327020","Romeo Power Inc","RMO",2022-08-01,2022
"3955213020","PBF Logistics LP","PBFX",2022-07-28,2022
"3955298020","Realnetworks Inc","RNWK",2022-07-28,2022
"3954778020","Pzena Investment Management Inc","PZN",2022-07-26,2022
"3953827020","Infrastructure & Energy Alternatives Inc","IEA",2022-07-25,2022
"3957993020","AutoWeb Inc","AUTO",2022-07-25,2022
"3952843020","Hanger Inc","HGR",2022-07-21,2022
