deal_id,target_name,acquirer_name,target_ticker,target_isin,announce_date,complete_date,withdrawn_date,expected_complete_date,assumed_complete_date,deal_status,deal_type,payment_method,deal_value_eur_th,offer_price_eur,initial_stake_pct,final_stake_pct,target_sic,target_exchange,acquirer_country,deal_completed,target_sic_primary,target_sic_2digit
91314,TIME WARNER INC.(OLD),AMERICA ONLINE INC.,TWX,US8873151091,2000-01-10,2001-01-11,NA,NA,NA,Completed,Acquisition 100%,Shares,191120280,115.0188,0,100,2741 / 8999,NA,US,1,2741,27
1909649655,QUALCOMM INC.,BROADCOM LTD,QCOM,US7475251036,NA,NA,2018-03-14,NA,NA,Withdrawn,Acquisition 100%,Liabilities,114532984.98,63.7420825239,0,100,3674 / 7371 / 7372,NASDAQ National Market / Wiener Boerse / Bulgarian Stock Exchange / Bern Stock Exchange / Santiago Stock Exchange / Boerse Berlin / Boerse Duesseldorf / Boerse Frankfurt / Boerse Hannover / Boerse Hamburg / Boerse Munchen / Boerse Stuttgart / XETRA Stock Exchange / London Stock Exchange / Borsa Italiana - MTA (Mercato Telematico Azionario) / Kazakhstan Stock Exchange / Bolsa Mexicana de Valores / Bolsa de Valores de Lima / Moscow Exchange MICEX - RTS / PFTS Stock Exchange / Ukrainian Exchange,SG,0,3674,36
140036,WARNER-LAMBERT COMPANY,PFIZER INC.,WLA,US9344881076,2000-02-07,2000-06-19,NA,NA,NA,Completed,Acquisition 100%,Shares,93409444.71,102.037363753047,0,100,2834,NA,US,1,2834,28
1909123295,TIME WARNER INC.,AT&T INC.,TWX,US8873173038,2016-10-22,2018-06-13,NA,NA,NA,Completed,Acquisition 100%,Liabilities,92548184.95,91.526493859,0,100,2721 / 2731 / 4833 / 4841 / 4899 / 7374 / 7812 / 7819 / 8742,NASDAQ OMX PHLX,US,1,2721,27
1941097973,TWENTY-FIRST CENTURY FOX INC.,TWDC HOLDCO 613 CORPORATION,TFCFA,US90130A3095,2018-06-20,2019-03-15,NA,NA,NA,Completed,Acquisition 100% Bid 2 Increased,Liabilities,75267066.6,33.6092659308,0,100,2711 / 2721 / 2731 / 4833 / 4841 / 7812 / 7822,NASDAQ National Market,US,1,2711,27
1909060241,TIME WARNER CABLE INC.,CCH I LLC,TWC,US88732J2078,2015-05-26,2016-05-18,NA,NA,NA,Completed,Acquisition 100%,Cash assumed,69568009.9,170.243616206091,0,100,4813 / 4822 / 4841,New York Stock Exchange (NYSE),US,1,4813,48
1909646579,AETNA INC.,CVS HEALTH CORPORATION,AET,US00817Y1082,2017-12-03,2018-11-28,NA,NA,NA,Completed,Acquisition 100%,Cash,68174190.86,184.105730490674,0,100,6321 / 6324,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,US,1,6321,63
1909125088,TIME WARNER INC.,TWENTY-FIRST CENTURY FOX INC.,TWX,US8873173038,NA,NA,2014-08-05,NA,NA,Withdrawn,Acquisition 100%,Liabilities,67056087.02,70.781425192,0,100,2721 / 2731 / 4833 / 4841 / 4899 / 7374 / 7812 / 7819 / 8742,NASDAQ OMX PHLX,US,0,2721,27
1941171410,CELGENE CORPORATION,BRISTOL-MYERS SQUIBB COMPANY,CELG,US1510201049,2019-01-03,2019-11-20,NA,NA,NA,Completed,Acquisition 100%,Earn-out,66798280.01,92.461457046828,0,100,2834,NASDAQ National Market,US,1,2834,28
1909148803,ALLERGAN INC.,ACTAVIS PLC,AGN,US0184901025,2014-11-17,2015-03-17,NA,NA,NA,Completed,Acquisition 100%,Cash,66702910.51,207.2047858374,0,100,2834 / 8731,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,IE,1,2834,28
