"original_name","standard_name","construct","priority","pct_missing"
"sdc_deal_no","deal_id","identifier_deal","CRITICAL",0
"date_announced","date_announced","date_announcement","CRITICAL",0
"target_full_name","target_name","identifier_target","CRITICAL",0
"deal_status","deal_status","outcome_completion","CRITICAL",0
"number_of_days_between_date_announced_and_date_effective","number_of_days_between_date_announced_and_date_effective","date_announcement","CRITICAL",0
"percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","date_announcement","CRITICAL",0
"target_stock_exchange_name","target_stock_exchange_name","identifier_target","CRITICAL",0
"target_share_price_1_day_prior_to_announcement_usd","target_share_price_1_day_prior_to_announcement_usd","outcome_premium_input","CRITICAL",9.4
"target_share_price_1_week_prior_to_announcement_usd","target_share_price_1_week_prior_to_announcement_usd","outcome_premium_input","CRITICAL",9.7
"target_share_price_4_weeks_prior_to_announcement_usd","target_share_price_4_weeks_prior_to_announcement_usd","outcome_premium_input","CRITICAL",9.9
"date_effective","date_effective","date_completion","CRITICAL",17.8
"share_price_paid_by_acquiror_for_target_shares_usd","share_price_paid_by_acquiror_for_target_shares_usd","outcome_premium_input","CRITICAL",37.6
"target_financial_advisors_name","target_financial_advisors_name","identifier_target","CRITICAL",40.9
"premium_paid_1_day_prior_to_announcement","premium_paid_1_day_prior_to_announcement","date_announcement","CRITICAL",41.1
"premium_paid_1_week_prior_to_announcement","premium_paid_1_week_prior_to_announcement","date_announcement","CRITICAL",41.2
"premium_paid_4_weeks_prior_to_announcement","premium_paid_4_weeks_prior_to_announcement","date_announcement","CRITICAL",41.3
"target_nation","target_nation","control_geography","HIGH",0
"acquiror_full_name","acquirer_name","identifier_acquirer","HIGH",0
"target_primary_sic","target_primary_sic","control_industry","HIGH",0
"target_public_status","target_public_status","control_public_status","HIGH",0
"acquiror_ultimate_parent_name","acquiror_ultimate_parent_name","identifier_acquirer","HIGH",0
"percentage_of_shares_acquired_in_transaction","percentage_of_shares_acquired_in_transaction","control_payment","HIGH",0
"percentage_of_cash","percentage_of_cash","control_payment","HIGH",0
"percentage_of_stock","percentage_of_stock","control_payment","HIGH",0
"acquiror_public_status","acquiror_public_status","control_public_status","HIGH",0
"target_nation_of_primary_stock_exchange","target_nation_of_primary_stock_exchange","control_geography","HIGH",0
"target_primary_ticker_symbol","target_ticker","identifier_target","HIGH",0.2
"deal_type","deal_type","control_deal_type","HIGH",0.7
"deal_value_usd_millions","deal_value_usd_millions","control_deal_value","HIGH",22.1
"rank_value_including_net_debt_of_target_usd_millions","rank_value_including_net_debt_of_target_usd_millions","control_deal_value","HIGH",22.4
"percentage_of_shares_owned_after_transaction","percentage_of_shares_owned_after_transaction","control_payment","HIGH",24.1
"acquiror_financial_advisors_name","acquiror_financial_advisors_name","identifier_acquirer","HIGH",56.9
"date_withdrawn","date_withdrawn","date_withdrawn","HIGH",86.9
"target_macro_industry","target_macro_industry","control_industry","MEDIUM",0
"target_mid_industry","target_mid_industry","control_industry","MEDIUM",0
"acquiror_macro_industry","acquiror_macro_industry","control_industry","MEDIUM",0
"acquiror_mid_industry","acquiror_mid_industry","control_industry","MEDIUM",0
"acquiror_nation","acquiror_nation","moderator_geography","MEDIUM",0
"target_6_digit_cusip","target_cusip","identifier_target","MEDIUM",0
"target_state","target_state","control_geography","MEDIUM",0
"acquisition_techniques","acquisition_techniques","moderator_deal","MEDIUM",0
"deal_attitude","deal_attitude","moderator_deal","MEDIUM",0
"tender_offer_flag","tender_offer_flag","moderator_deal","MEDIUM",0
"cross_border_deal_flag","cross_border_deal_flag","moderator_geography","MEDIUM",0
"acquiror_primary_sic","acquiror_primary_sic","control_industry","MEDIUM",0
"acquiror_state","acquiror_state","moderator_geography","MEDIUM",0.2
"competing_offer_flag","competing_offer_flag","moderator_deal","MEDIUM",89.7
"rank_date","rank_date","metadata_rank","LOW",0
"form_of_the_deal","form_of_the_deal","unmapped","LOW",0
"acquiror_6_digit_cusip","acquiror_6_digit_cusip","unmapped","LOW",0
"related_sdc_deal_number","related_sdc_deal_number","moderator_related_deal","LOW",87.5
